Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
81820.64,19647900000000,81.82064,Monrovia Unified,64790,20,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,3,1,1,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,20,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,2,3,1,1,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,20,1,Accounts Receivable,Accounts Receivable,9200,2,3,1,1,1415
151420.31,19647900000000,151.42031,Monrovia Unified,64790,214,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,18,24,1,15,1415
244550.25,19647900000000,244.55025,Monrovia Unified,64790,214,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,18,24,1,15,1415
510.11,19647900000000,0.51011,Monrovia Unified,64790,214,2,Subagreements for Services,Subagreements for Services,5100,18,24,1,15,1415
3910,19647900000000,3.91,Monrovia Unified,64790,214,2,Communications,Communications,5900,18,24,1,15,1415
81820.64,19647900000000,81.82064,Monrovia Unified,64790,214,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,18,24,1,15,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,214,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,18,24,1,15,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,214,2,Accounts Receivable,Accounts Receivable,9200,18,24,1,15,1415
151420.31,19647900000000,151.42031,Monrovia Unified,64790,172,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,12,16,1,7,1415
244550.25,19647900000000,244.55025,Monrovia Unified,64790,172,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,12,16,1,7,1415
510.11,19647900000000,0.51011,Monrovia Unified,64790,172,4,Subagreements for Services,Subagreements for Services,5100,12,16,1,7,1415
3910,19647900000000,3.91,Monrovia Unified,64790,172,4,Communications,Communications,5900,12,16,1,7,1415
81820.64,19647900000000,81.82064,Monrovia Unified,64790,172,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,12,16,1,7,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,172,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,12,16,1,7,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,172,4,Accounts Receivable,Accounts Receivable,9200,12,16,1,7,1415
151420.31,19647900000000,151.42031,Monrovia Unified,64790,3649,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,236,297,1,93,1415
244550.25,19647900000000,244.55025,Monrovia Unified,64790,3649,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,236,297,1,93,1415
510.11,19647900000000,0.51011,Monrovia Unified,64790,3649,5,Subagreements for Services,Subagreements for Services,5100,236,297,1,93,1415
3910,19647900000000,3.91,Monrovia Unified,64790,3649,5,Communications,Communications,5900,236,297,1,93,1415
81820.64,19647900000000,81.82064,Monrovia Unified,64790,3649,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,236,297,1,93,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,3649,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,236,297,1,93,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,3649,5,Accounts Receivable,Accounts Receivable,9200,236,297,1,93,1415
151420.31,19647900000000,151.42031,Monrovia Unified,64790,425,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,33,45,1,12,1415
244550.25,19647900000000,244.55025,Monrovia Unified,64790,425,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,33,45,1,12,1415
510.11,19647900000000,0.51011,Monrovia Unified,64790,425,6,Subagreements for Services,Subagreements for Services,5100,33,45,1,12,1415
3910,19647900000000,3.91,Monrovia Unified,64790,425,6,Communications,Communications,5900,33,45,1,12,1415
81820.64,19647900000000,81.82064,Monrovia Unified,64790,425,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,33,45,1,12,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,425,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,33,45,1,12,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,425,6,Accounts Receivable,Accounts Receivable,9200,33,45,1,12,1415
151420.31,19647900000000,151.42031,Monrovia Unified,64790,1304,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,119,138,1,74,1415
244550.25,19647900000000,244.55025,Monrovia Unified,64790,1304,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,119,138,1,74,1415
510.11,19647900000000,0.51011,Monrovia Unified,64790,1304,7,Subagreements for Services,Subagreements for Services,5100,119,138,1,74,1415
3910,19647900000000,3.91,Monrovia Unified,64790,1304,7,Communications,Communications,5900,119,138,1,74,1415
81820.64,19647900000000,81.82064,Monrovia Unified,64790,1304,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,119,138,1,74,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,1304,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,119,138,1,74,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,1304,7,Accounts Receivable,Accounts Receivable,9200,119,138,1,74,1415
151420.31,19647900000000,151.42031,Monrovia Unified,64790,104,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,6,6,1,5,1415
244550.25,19647900000000,244.55025,Monrovia Unified,64790,104,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,6,6,1,5,1415
510.11,19647900000000,0.51011,Monrovia Unified,64790,104,9,Subagreements for Services,Subagreements for Services,5100,6,6,1,5,1415
3910,19647900000000,3.91,Monrovia Unified,64790,104,9,Communications,Communications,5900,6,6,1,5,1415
81820.64,19647900000000,81.82064,Monrovia Unified,64790,104,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,6,6,1,5,1415
1553819.95,19647900000000,1553.81995,Monrovia Unified,64790,104,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,6,6,1,5,1415
761191.12,19647900000000,761.19112,Monrovia Unified,64790,104,9,Accounts Receivable,Accounts Receivable,9200,6,6,1,5,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,64,0,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,3,2,1,3,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,64,0,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,2,1,3,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,64,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,2,1,3,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,64,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,2,1,3,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,64,0,Accounts Receivable,Accounts Receivable,9200,3,2,1,3,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,41,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,2,2,1,0,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,41,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,2,2,1,0,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,41,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,2,1,0,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,41,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,2,2,1,0,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,41,1,Accounts Receivable,Accounts Receivable,9200,2,2,1,0,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,681,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,46,54,1,32,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,681,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,46,54,1,32,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,681,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,46,54,1,32,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,681,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,46,54,1,32,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,681,2,Accounts Receivable,Accounts Receivable,9200,46,54,1,32,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,98,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,9,11,1,3,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,98,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,9,11,1,3,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,98,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,9,11,1,3,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,98,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,9,11,1,3,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,98,3,Accounts Receivable,Accounts Receivable,9200,9,11,1,3,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,548,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,41,42,1,24,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,548,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,41,42,1,24,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,548,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,41,42,1,24,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,548,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,41,42,1,24,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,548,4,Accounts Receivable,Accounts Receivable,9200,41,42,1,24,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,15034,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1093,1248,1,359,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,15034,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,1093,1248,1,359,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,15034,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1093,1248,1,359,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,15034,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1093,1248,1,359,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,15034,5,Accounts Receivable,Accounts Receivable,9200,1093,1248,1,359,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,467,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,43,51,1,9,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,467,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,43,51,1,9,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,467,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,43,51,1,9,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,467,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,43,51,1,9,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,467,6,Accounts Receivable,Accounts Receivable,9200,43,51,1,9,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,1805,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,162,180,1,58,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,1805,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,162,180,1,58,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,1805,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,162,180,1,58,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,1805,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,162,180,1,58,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,1805,7,Accounts Receivable,Accounts Receivable,9200,162,180,1,58,1415
147811.09,19648400000000,147.81109,Norwalk-La Mirada Unified,64840,222,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,15,17,1,11,1415
806420.84,19648400000000,806.42084,Norwalk-La Mirada Unified,64840,222,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,15,17,1,11,1415
156115.62,19648400000000,156.11562,Norwalk-La Mirada Unified,64840,222,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,15,17,1,11,1415
12381271.93,19648400000000,12381.27193,Norwalk-La Mirada Unified,64840,222,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,15,17,1,11,1415
4331964.2,19648400000000,4331.9642,Norwalk-La Mirada Unified,64840,222,9,Accounts Receivable,Accounts Receivable,9200,15,17,1,11,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,657,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,65,67,1,62,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,657,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,65,67,1,62,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,657,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,65,67,1,62,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,657,2,Insurance,Insurance,5400,65,67,1,62,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,657,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,65,67,1,62,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,657,2,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,65,67,1,62,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,657,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,65,67,1,62,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,31,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,4,1,3,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,31,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,3,4,1,3,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,31,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,4,1,3,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,31,3,Insurance,Insurance,5400,3,4,1,3,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,31,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,4,1,3,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,31,3,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,3,4,1,3,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,31,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,4,1,3,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,83,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,8,8,1,8,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,83,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,8,8,1,8,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,83,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,8,8,1,8,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,83,4,Insurance,Insurance,5400,8,8,1,8,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,83,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,8,8,1,8,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,83,4,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,8,8,1,8,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,83,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,8,8,1,8,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,3341,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,263,296,1,188,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,3341,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,263,296,1,188,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,3341,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,263,296,1,188,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,3341,5,Insurance,Insurance,5400,263,296,1,188,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,3341,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,263,296,1,188,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,3341,5,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,263,296,1,188,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,3341,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,263,296,1,188,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,729,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,66,68,1,34,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,729,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,66,68,1,34,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,729,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,66,68,1,34,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,729,6,Insurance,Insurance,5400,66,68,1,34,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,729,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,66,68,1,34,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,729,6,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,66,68,1,34,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,729,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,66,68,1,34,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,5791,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,426,451,1,362,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,5791,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,426,451,1,362,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,5791,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,426,451,1,362,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,5791,7,Insurance,Insurance,5400,426,451,1,362,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,5791,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,426,451,1,362,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,5791,7,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,426,451,1,362,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,5791,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,426,451,1,362,1415
4711124.08,19649800000000,4711.12408,Santa Monica-Malibu Unified,64980,610,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,34,36,1,28,1415
297400.22,19649800000000,297.40022,Santa Monica-Malibu Unified,64980,610,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,34,36,1,28,1415
489056.64,19649800000000,489.05664,Santa Monica-Malibu Unified,64980,610,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,34,36,1,28,1415
1807432,19649800000000,1807.432,Santa Monica-Malibu Unified,64980,610,9,Insurance,Insurance,5400,34,36,1,28,1415
200372.93,19649800000000,200.37293,Santa Monica-Malibu Unified,64980,610,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,34,36,1,28,1415
1317815.85,19649800000000,1317.81585,Santa Monica-Malibu Unified,64980,610,9,Transfers of Indirect Costs,Transfers of Indirect Costs,7310,34,36,1,28,1415
6252803.21,19649800000000,6252.80321,Santa Monica-Malibu Unified,64980,610,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,34,36,1,28,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,325,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,27,26,1,14,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,325,0,Accounts Receivable,Accounts Receivable,9200,27,26,1,14,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,72,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,14,15,1,4,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,72,1,Accounts Receivable,Accounts Receivable,9200,14,15,1,4,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,7123,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,636,639,1,454,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,7123,2,Accounts Receivable,Accounts Receivable,9200,636,639,1,454,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,141,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,16,16,1,7,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,141,3,Accounts Receivable,Accounts Receivable,9200,16,16,1,7,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,1210,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,139,140,1,91,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,1210,4,Accounts Receivable,Accounts Receivable,9200,139,140,1,91,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,6686,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,545,571,1,204,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,6686,5,Accounts Receivable,Accounts Receivable,9200,545,571,1,204,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,951,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,110,121,1,45,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,951,6,Accounts Receivable,Accounts Receivable,9200,110,121,1,45,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,5831,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,549,570,1,268,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,5831,7,Accounts Receivable,Accounts Receivable,9200,549,570,1,268,1415
11631431.78,19650600000000,11631.43178,Torrance Unified,65060,1608,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,93,94,1,48,1415
7683955.6,19650600000000,7683.9556,Torrance Unified,65060,1608,9,Accounts Receivable,Accounts Receivable,9200,93,94,1,48,1415
2235996.7,19734600000000,2235.9967,Walnut Valley Unified,73460,13,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,2,1,0,1415
868949.8,19734600000000,868.9498,Walnut Valley Unified,73460,13,1,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,2,2,1,0,1415
75366.48,19734600000000,75.36648,Walnut Valley Unified,73460,13,1,Books and Other Reference Materials,Books and Other Reference Materials,4200,2,2,1,0,1415
122294.59,19734600000000,122.29459,Walnut Valley Unified,73460,13,1,Subagreements for Services,Subagreements for Services,5100,2,2,1,0,1415
232209.82,19734600000000,232.20982,Walnut Valley Unified,73460,13,1,Communications,Communications,5900,2,2,1,0,1415
661741.91,19734600000000,661.74191,Walnut Valley Unified,73460,13,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,2,2,1,0,1415
5894221.14,19734600000000,5894.22114,Walnut Valley Unified,73460,13,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,2,2,1,0,1415
3426284.86,19734600000000,3426.28486,Walnut Valley Unified,73460,13,1,Accounts Receivable,Accounts Receivable,9200,2,2,1,0,1415
2235996.7,19734600000000,2235.9967,Walnut Valley Unified,73460,8324,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,871,880,1,662,1415
868949.8,19734600000000,868.9498,Walnut Valley Unified,73460,8324,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,871,880,1,662,1415
75366.48,19734600000000,75.36648,Walnut Valley Unified,73460,8324,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,871,880,1,662,1415
122294.59,19734600000000,122.29459,Walnut Valley Unified,73460,8324,2,Subagreements for Services,Subagreements for Services,5100,871,880,1,662,1415
232209.82,19734600000000,232.20982,Walnut Valley Unified,73460,8324,2,Communications,Communications,5900,871,880,1,662,1415
661741.91,19734600000000,661.74191,Walnut Valley Unified,73460,8324,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,871,880,1,662,1415
5894221.14,19734600000000,5894.22114,Walnut Valley Unified,73460,8324,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,871,880,1,662,1415
3426284.86,19734600000000,3426.28486,Walnut Valley Unified,73460,8324,2,Accounts Receivable,Accounts Receivable,9200,871,880,1,662,1415
2235996.7,19734600000000,2235.9967,Walnut Valley Unified,73460,103,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,15,15,1,10,1415
