Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
328938.85,1611270000000,328.93885,Albany City Unified,61127,3,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,0,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,3,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,0,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,3,3,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,15,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,3,1,1,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,15,4,Classified Support Salaries,Classified Support Salaries,2200,3,3,1,1,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,15,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,3,3,1,1,1213
328938.85,1611270000000,328.93885,Albany City Unified,61127,15,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,3,1,1,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,15,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,3,1,1,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,15,4,Accounts Receivable,Accounts Receivable,9200,3,3,1,1,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,218,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,46,47,1,7,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,218,5,Classified Support Salaries,Classified Support Salaries,2200,46,47,1,7,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,218,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,46,47,1,7,1213
328938.85,1611270000000,328.93885,Albany City Unified,61127,218,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,46,47,1,7,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,218,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,46,47,1,7,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,218,5,Accounts Receivable,Accounts Receivable,9200,46,47,1,7,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,78,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,19,22,1,6,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,78,6,Classified Support Salaries,Classified Support Salaries,2200,19,22,1,6,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,78,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,19,22,1,6,1213
328938.85,1611270000000,328.93885,Albany City Unified,61127,78,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,19,22,1,6,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,78,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,19,22,1,6,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,78,6,Accounts Receivable,Accounts Receivable,9200,19,22,1,6,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,389,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,98,96,1,37,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,389,7,Classified Support Salaries,Classified Support Salaries,2200,98,96,1,37,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,389,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,98,96,1,37,1213
328938.85,1611270000000,328.93885,Albany City Unified,61127,389,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,98,96,1,37,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,389,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,98,96,1,37,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,389,7,Accounts Receivable,Accounts Receivable,9200,98,96,1,37,1213
1058343.97,1611270000000,1058.34397,Albany City Unified,61127,116,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,29,29,1,13,1213
408753.7,1611270000000,408.7537,Albany City Unified,61127,116,9,Classified Support Salaries,Classified Support Salaries,2200,29,29,1,13,1213
15571.05,1611270000000,15.57105,Albany City Unified,61127,116,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,29,29,1,13,1213
328938.85,1611270000000,328.93885,Albany City Unified,61127,116,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,29,29,1,13,1213
1161577.98,1611270000000,1161.57798,Albany City Unified,61127,116,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,29,29,1,13,1213
18015623.83,1611270000000,18015.62383,Albany City Unified,61127,116,9,Accounts Receivable,Accounts Receivable,9200,29,29,1,13,1213
7177684.69000001,1611430000000,7177.684690000,Berkeley Unified,61143,294,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,82,87,1,41,1213
21053,1611430000000,21.053,Berkeley Unified,61143,294,2,Accounts Receivable,Accounts Receivable,9200,82,87,1,41,1213
7177684.69000001,1611430000000,7177.684690000,Berkeley Unified,61143,24,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,8,6,1,1,1213
21053,1611430000000,21.053,Berkeley Unified,61143,24,4,Accounts Receivable,Accounts Receivable,9200,8,6,1,1,1213
7177684.69000001,1611430000000,7177.684690000,Berkeley Unified,61143,948,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,161,178,1,57,1213
21053,1611430000000,21.053,Berkeley Unified,61143,948,5,Accounts Receivable,Accounts Receivable,9200,161,178,1,57,1213
7177684.69000001,1611430000000,7177.684690000,Berkeley Unified,61143,845,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,190,227,1,35,1213
21053,1611430000000,21.053,Berkeley Unified,61143,845,6,Accounts Receivable,Accounts Receivable,9200,190,227,1,35,1213
7177684.69000001,1611430000000,7177.684690000,Berkeley Unified,61143,1212,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,286,296,1,213,1213
21053,1611430000000,21.053,Berkeley Unified,61143,1212,7,Accounts Receivable,Accounts Receivable,9200,286,296,1,213,1213
7177684.69000001,1611430000000,7177.684690000,Berkeley Unified,61143,320,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,59,72,1,36,1213
21053,1611430000000,21.053,Berkeley Unified,61143,320,9,Accounts Receivable,Accounts Receivable,9200,59,72,1,36,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,23,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,7,1,2,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,23,0,Classified Support Salaries,Classified Support Salaries,2200,3,7,1,2,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,23,0,Accounts Receivable,Accounts Receivable,9200,3,7,1,2,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,9,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,2,2,1,1,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,9,1,Classified Support Salaries,Classified Support Salaries,2200,2,2,1,1,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,9,1,Accounts Receivable,Accounts Receivable,9200,2,2,1,1,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,727,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,167,171,1,132,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,727,2,Classified Support Salaries,Classified Support Salaries,2200,167,171,1,132,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,727,2,Accounts Receivable,Accounts Receivable,9200,167,171,1,132,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,18,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,4,1,2,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,18,3,Classified Support Salaries,Classified Support Salaries,2200,3,4,1,2,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,18,3,Accounts Receivable,Accounts Receivable,9200,3,4,1,2,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,88,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,28,27,1,18,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,88,4,Classified Support Salaries,Classified Support Salaries,2200,28,27,1,18,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,88,4,Accounts Receivable,Accounts Receivable,9200,28,27,1,18,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,736,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,170,186,1,67,1213
164034.67,1611500000000,164.03467,Castro Valley Unified,61150,736,5,Classified Support Salaries,Classified Support Salaries,2200,170,186,1,67,1213
29115614.36,1611500000000,29115.61436,Castro Valley Unified,61150,736,5,Accounts Receivable,Accounts Receivable,9200,170,186,1,67,1213
3253638.93,1611500000000,3253.63893,Castro Valley Unified,61150,241,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,50,54,1,15,1213
