Year,CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
1314,1750930000000,1,2,15,2,2,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,2,113,2139,111,95,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,2,113,2139,111,95,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,2,113,2139,111,95,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,2,113,2139,111,95,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,3,3,25,3,2,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,3,3,25,3,2,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,3,3,25,3,2,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,3,3,25,3,2,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,4,29,373,26,22,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,4,29,373,26,22,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,4,29,373,26,22,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,4,29,373,26,22,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,5,74,553,65,32,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,5,74,553,65,32,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,5,74,553,65,32,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,5,74,553,65,32,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,6,38,279,33,18,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,6,38,279,33,18,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,6,38,279,33,18,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,6,38,279,33,18,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,7,203,1398,196,121,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,7,203,1398,196,121,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,7,203,1398,196,121,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,7,203,1398,196,121,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1750930000000,9,3,93,3,2,75093,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1488962.9700000002
1314,1750930000000,9,3,93,3,2,75093,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,317919.2799999999
1314,1750930000000,9,3,93,3,2,75093,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,174402.25
1314,1750930000000,9,3,93,3,2,75093,9200,Accounts Receivable                                                                                                                                                                                                                                       ,517749.96
1314,1751010000000,1,14,32,14,8,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,1,14,32,14,8,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,1,14,32,14,8,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,2,337,1444,333,260,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,2,337,1444,333,260,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,2,337,1444,333,260,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,3,6,19,4,2,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,3,6,19,4,2,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,3,6,19,4,2,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,4,32,132,30,18,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,4,32,132,30,18,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,4,32,132,30,18,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,5,120,478,98,41,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,5,120,478,98,41,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,5,120,478,98,41,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,6,19,107,15,6,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,6,19,107,15,6,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,6,19,107,15,6,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,7,741,2626,704,451,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,7,741,2626,704,451,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,7,741,2626,704,451,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,1751010000000,9,33,114,30,19,75101,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6570769.4899999965
1314,1751010000000,9,33,114,30,19,75101,2200,Classified Support Salaries                                                                                                                                                                                                                               ,176799.72
1314,1751010000000,9,33,114,30,19,75101,9200,Accounts Receivable                                                                                                                                                                                                                                       ,15385381.18
1314,2100250000000,1,1,6,1,0,10025,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,1454.76
1314,2100250000000,1,1,6,1,0,10025,9200,Accounts Receivable                                                                                                                                                                                                                                       ,545318.27
1314,2613330000000,1,1,1,1,0,61333,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,52346.50000000002
1314,3100330000000,5,3,108,2,0,10033,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,619115.4700000004
1314,3100330000000,5,3,108,2,0,10033,9200,Accounts Receivable                                                                                                                                                                                                                                       ,148596.79
1314,3100330000000,7,17,283,6,0,10033,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,619115.4700000004
1314,3100330000000,7,17,283,6,0,10033,9200,Accounts Receivable                                                                                                                                                                                                                                       ,148596.79
1314,3739810000000,0,10,29,10,5,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,0,10,29,10,5,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,1,12,38,9,1,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,1,12,38,9,1,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,2,5,15,5,3,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,2,5,15,5,3,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,3,1,3,1,0,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,3,1,3,1,0,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,4,2,9,1,0,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,4,2,9,1,0,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,5,55,214,47,9,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,5,55,214,47,9,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,6,2,5,3,1,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,6,2,5,3,1,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,7,250,941,225,62,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,7,250,941,225,62,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,3739810000000,9,18,60,14,3,73981,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,447107.5799999999
1314,3739810000000,9,18,60,14,3,73981,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3843241.58
1314,4100410000000,0,2,3,2,0,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,0,2,3,2,0,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,0,2,3,2,0,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,0,2,3,2,0,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,0,2,3,2,0,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,1,7,36,4,0,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,1,7,36,4,0,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,1,7,36,4,0,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,1,7,36,4,0,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,1,7,36,4,0,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,2,1,12,2,2,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,2,1,12,2,2,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,2,1,12,2,2,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,2,1,12,2,2,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,2,1,12,2,2,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,4,1,3,2,0,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,4,1,3,2,0,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,4,1,3,2,0,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,4,1,3,2,0,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,4,1,3,2,0,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,5,37,238,33,2,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,5,37,238,33,2,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,5,37,238,33,2,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,5,37,238,33,2,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,5,37,238,33,2,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,6,3,18,1,0,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,6,3,18,1,0,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,6,3,18,1,0,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,6,3,18,1,0,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,6,3,18,1,0,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,7,117,725,93,18,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,7,117,725,93,18,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,7,117,725,93,18,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,7,117,725,93,18,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,7,117,725,93,18,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4100410000000,9,5,27,3,0,10041,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6272554.51
1314,4100410000000,9,5,27,3,0,10041,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,24288.17000000001
1314,4100410000000,9,5,27,3,0,10041,5900,Communications                                                                                                                                                                                                                                            ,10312.589999999998
1314,4100410000000,9,5,27,3,0,10041,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,111930.12
1314,4100410000000,9,5,27,3,0,10041,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17481928.249999996
1314,4614080000000,1,2,3,2,0,61408,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,12935.97
1314,4614080000000,1,2,3,2,0,61408,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,106020.85
1314,4614080000000,1,2,3,2,0,61408,5100,Subagreements for Services                                                                                                                                                                                                                                ,80930.45000000001
1314,4614080000000,1,2,3,2,0,61408,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2144671.1300000004
1314,4614080000000,1,2,3,2,0,61408,9200,Accounts Receivable                                                                                                                                                                                                                                       ,157171.0
1314,4614080000000,5,26,64,25,5,61408,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,12935.97
1314,4614080000000,5,26,64,25,5,61408,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,106020.85
1314,4614080000000,5,26,64,25,5,61408,5100,Subagreements for Services                                                                                                                                                                                                                                ,80930.45000000001
