CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
4615310000000,Paradise Unified,9,17,103,32,6
4615320000000,Paradise Unified,5,2,345,4,0
4615320000000,Paradise Unified,7,20,2130,30,0
4615320000000,Paradise Unified,9,6,225,10,0
4755070000000,Gridley Unified,0,4,36,4,0
4755070000000,Gridley Unified,2,4,23,8,2
4755070000000,Gridley Unified,4,1,1,1,1
4755070000000,Gridley Unified,5,86,382,164,54
4755070000000,Gridley Unified,6,1,4,2,2
4755070000000,Gridley Unified,7,74,244,126,30
5100580000000,Calaveras County Office of Education,1,2,8,2,0
5100580000000,Calaveras County Office of Education,2,1,2,2,0
5100580000000,Calaveras County Office of Education,3,0,3,2,0
5100580000000,Calaveras County Office of Education,5,7,71,18,0
5100580000000,Calaveras County Office of Education,7,53,374,114,0
5100580000000,Calaveras County Office of Education,9,3,36,10,0
5100590000000,Calaveras County Office of Education,5,1,9,2,0
5100590000000,Calaveras County Office of Education,7,2,59,8,0
5615560000000,Bret Harte Union High,1,3,16,6,2
5615560000000,Bret Harte Union High,2,0,2,1,0
5615560000000,Bret Harte Union High,5,30,133,60,22
5615560000000,Bret Harte Union High,7,123,527,248,110
5615560000000,Bret Harte Union High,9,13,43,20,10
5615640000000,Calaveras Unified,1,3,17,6,0
5615640000000,Calaveras Unified,2,3,6,2,0
5615640000000,Calaveras Unified,4,4,10,8,2
5615640000000,Calaveras Unified,5,31,154,58,22
5615640000000,Calaveras Unified,6,3,22,10,2
5615640000000,Calaveras Unified,7,215,877,414,132
5615640000000,Calaveras Unified,9,2,15,4,0
6615980000000,Colusa Unified,1,4,17,2,0
6615980000000,Colusa Unified,5,51,261,74,4
6615980000000,Colusa Unified,6,3,3,4,0
6615980000000,Colusa Unified,7,47,159,80,8
6616060000000,Maxwell Unified,1,1,2,2,0
6616060000000,Maxwell Unified,5,11,52,24,4
6616060000000,Maxwell Unified,7,14,52,28,6
6616140000000,Pierce Joint Unified,3,1,3,1,0
6616140000000,Pierce Joint Unified,5,67,297,122,38
6616140000000,Pierce Joint Unified,7,19,98,36,8
6616220000000,Williams Unified,1,0,3,2,0
6616220000000,Williams Unified,5,78,780,122,18
6616220000000,Williams Unified,6,2,6,4,0
6616220000000,Williams Unified,7,5,63,8,0
7100740000000,Contra Costa County Office of Education,0,5,49,8,8
7100740000000,Contra Costa County Office of Education,1,3,18,4,4
7100740000000,Contra Costa County Office of Education,2,46,194,90,86
7100740000000,Contra Costa County Office of Education,3,4,27,6,6
7100740000000,Contra Costa County Office of Education,4,21,124,40,40
7100740000000,Contra Costa County Office of Education,5,146,1246,242,220
7100740000000,Contra Costa County Office of Education,6,60,370,62,30
7100740000000,Contra Costa County Office of Education,7,269,1267,470,462
7100740000000,Contra Costa County Office of Education,9,14,84,26,26
7616300000000,Acalanes Union High,0,7,59,8,4
7616300000000,Acalanes Union High,1,2,8,4,2
7616300000000,Acalanes Union High,2,176,649,338,288
7616300000000,Acalanes Union High,3,2,13,4,4
7616300000000,Acalanes Union High,4,28,105,58,42
7616300000000,Acalanes Union High,5,88,403,170,98
7616300000000,Acalanes Union High,6,26,83,52,26
7616300000000,Acalanes Union High,7,930,3686,1852,1352
7616300000000,Acalanes Union High,9,81,338,150,110
7616480000000,Antioch Unified,0,1,6,2,0
7616480000000,Antioch Unified,1,16,73,14,0
7616480000000,Antioch Unified,2,81,548,146,98
7616480000000,Antioch Unified,3,21,76,30,8
7616480000000,Antioch Unified,4,88,531,168,92
7616480000000,Antioch Unified,5,579,3252,906,228
7616480000000,Antioch Unified,6,444,2605,586,152
7616480000000,Antioch Unified,7,391,1967,626,216
7616480000000,Antioch Unified,9,72,531,116,46
7616970000000,John Swett Unified,0,1,1,2,0
7616970000000,John Swett Unified,1,1,2,2,0
7616970000000,John Swett Unified,2,13,55,26,10
7616970000000,John Swett Unified,4,14,58,22,6
7616970000000,John Swett Unified,5,44,162,72,8
