,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
611,12753820000000,75382,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,1244.96,1415
612,12753820000000,75382,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5225.0,1415
613,12755150000000,75515,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,231582.72000000012,1415
614,12755150000000,75515,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,66066.82,1415
615,12755150000000,75515,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,278359.79,1415
616,12755150000000,75515,5100,Subagreements for Services                                                                                                                                                                                                                                ,35751.78,1415
617,12755150000000,75515,5400,Insurance                                                                                                                                                                                                                                                 ,70095.73999999999,1415
618,12755150000000,75515,5900,Communications                                                                                                                                                                                                                                            ,1169548.64,1415
619,12755150000000,75515,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,133124.92,1415
620,12755150000000,75515,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2707707.5200000005,1415
621,12755150000000,75515,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1777435.4699999997,1415
622,12768020000000,76802,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,59661.52,1415
623,12768020000000,76802,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,302573.75,1415
624,12768020000000,76802,9200,Accounts Receivable                                                                                                                                                                                                                                       ,551169.99,1415
625,12768020124164,76802,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,3711.49,1415
626,12768020124164,76802,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1653.0,1415
627,13101320000000,10132,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,6556515.589999997,1415
628,13101320000000,10132,2200,Classified Support Salaries                                                                                                                                                                                                                               ,403873.7599999999,1415
629,13101320000000,10132,5900,Communications                                                                                                                                                                                                                                            ,138385.23,1415
630,13101320000000,10132,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,371542.20000000007,1415
631,13101320000000,10132,9200,Accounts Receivable                                                                                                                                                                                                                                       ,25223230.21,1415
632,13402120000000,40212,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2987125.6999999993,1415
633,13402120000000,40212,9200,Accounts Receivable                                                                                                                                                                                                                                       ,2497904.0,1415
634,13630730000000,63073,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1523015.9500000004,1415
635,13630730000000,63073,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,17938.450000000004,1415
636,13630730000000,63073,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1944820.38,1415
637,13630730000000,63073,9200,Accounts Receivable                                                                                                                                                                                                                                       ,288958.1,1415
638,13630810000000,63081,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,311640.2500000001,1415
639,13630810000000,63081,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,240807.08,1415
640,13630810000000,63081,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,579604.32,1415
641,13630810000000,63081,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,60249.8,1415
642,13630810000000,63081,9200,Accounts Receivable                                                                                                                                                                                                                                       ,940698.77,1415
643,13630990000000,63099,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,1239322.1000000006,1415
644,13630990000000,63099,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,948.51,1415
645,13630990000000,63099,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,477250.6099999999,1415
646,13630990000000,63099,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,196232.86,1415
