,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Year
296,7617210000000,Liberty Union High,0,1,7,2,0,1415
297,7617210000000,Liberty Union High,1,14,43,16,10,1415
298,7617210000000,Liberty Union High,2,56,244,106,80,1415
299,7617210000000,Liberty Union High,3,14,53,28,2,1415
300,7617210000000,Liberty Union High,4,88,383,154,104,1415
301,7617210000000,Liberty Union High,5,691,2689,1196,432,1415
302,7617210000000,Liberty Union High,6,189,747,292,104,1415
303,7617210000000,Liberty Union High,7,968,3601,1682,830,1415
304,7617210000000,Liberty Union High,9,85,320,142,66,1415
305,7617390000000,Martinez Unified,1,3,7,2,0,1415
306,7617390000000,Martinez Unified,2,12,47,24,20,1415
307,7617390000000,Martinez Unified,3,3,8,4,0,1415
308,7617390000000,Martinez Unified,4,11,41,22,14,1415
309,7617390000000,Martinez Unified,5,79,346,140,48,1415
310,7617390000000,Martinez Unified,6,8,37,10,4,1415
311,7617390000000,Martinez Unified,7,192,720,366,170,1415
312,7617390000000,Martinez Unified,9,33,131,58,32,1415
313,7617540000000,Mt. Diablo Unified,0,21,101,28,6,1415
314,7617540000000,Mt. Diablo Unified,1,15,46,18,2,1415
315,7617540000000,Mt. Diablo Unified,2,188,771,376,204,1415
316,7617540000000,Mt. Diablo Unified,3,24,95,40,12,1415
317,7617540000000,Mt. Diablo Unified,4,110,531,208,74,1415
318,7617540000000,Mt. Diablo Unified,5,795,3597,1302,232,1415
319,7617540000000,Mt. Diablo Unified,6,105,493,160,24,1415
320,7617540000000,Mt. Diablo Unified,7,947,3387,1716,708,1415
321,7617540000000,Mt. Diablo Unified,9,31,187,60,12,1415
322,7617880000000,Pittsburg Unified,0,1,19,2,0,1415
323,7617880000000,Pittsburg Unified,1,3,14,8,0,1415
324,7617880000000,Pittsburg Unified,2,23,143,44,20,1415
325,7617880000000,Pittsburg Unified,3,17,67,38,16,1415
326,7617880000000,Pittsburg Unified,4,58,295,114,74,1415
327,7617880000000,Pittsburg Unified,5,394,2770,794,256,1415
328,7617880000000,Pittsburg Unified,6,157,1026,278,82,1415
329,7617880000000,Pittsburg Unified,7,57,282,98,34,1415
330,7617880000000,Pittsburg Unified,9,9,95,28,0,1415
331,7617960000000,West Contra Costa Unified,1,5,14,2,0,1415
332,7617960000000,West Contra Costa Unified,2,223,920,456,250,1415
333,7617960000000,West Contra Costa Unified,3,25,70,36,10,1415
334,7617960000000,West Contra Costa Unified,4,146,597,278,164,1415
335,7617960000000,West Contra Costa Unified,5,1089,5012,1856,740,1415
336,7617960000000,West Contra Costa Unified,6,398,1956,692,198,1415
337,7617960000000,West Contra Costa Unified,7,197,808,356,170,1415
338,7617960000000,West Contra Costa Unified,9,13,81,22,12,1415
339,7618040000000,San Ramon Valley Unified,1,6,31,12,8,1415
340,7618040000000,San Ramon Valley Unified,2,632,6800,1258,1044,1415
341,7618040000000,San Ramon Valley Unified,3,9,27,18,4,1415
342,7618040000000,San Ramon Valley Unified,4,80,741,160,106,1415
343,7618040000000,San Ramon Valley Unified,5,207,1241,406,266,1415
344,7618040000000,San Ramon Valley Unified,6,49,315,98,42,1415
345,7618040000000,San Ramon Valley Unified,7,1342,6165,2658,1890,1415
346,7618040000000,San Ramon Valley Unified,9,116,1003,228,142,1415
347,8100820000000,Del Norte County Office of Education,0,0,1,2,0,1415
348,8100820000000,Del Norte County Office of Education,1,30,117,40,0,1415
349,8100820000000,Del Norte County Office of Education,2,6,10,12,0,1415
350,8100820000000,Del Norte County Office of Education,5,18,77,38,0,1415
351,8100820000000,Del Norte County Office of Education,6,3,8,8,0,1415
352,8100820000000,Del Norte County Office of Education,7,78,388,134,0,1415
353,8100820000000,Del Norte County Office of Education,9,5,14,6,0,1415
354,8618200000000,Del Norte County Unified,1,29,114,44,8,1415
355,8618200000000,Del Norte County Unified,2,21,81,38,18,1415
356,8618200000000,Del Norte County Unified,4,2,8,4,4,1415
357,8618200000000,Del Norte County Unified,5,48,200,80,22,1415
358,8618200000000,Del Norte County Unified,6,2,8,4,2,1415
359,8618200000000,Del Norte County Unified,7,154,552,254,54,1415
360,8618200000000,Del Norte County Unified,9,1,12,2,2,1415
361,9100900000000,El Dorado County Office of Education,1,3,15,2,0,1415
362,9100900000000,El Dorado County Office of Education,3,0,2,2,0,1415
363,9100900000000,El Dorado County Office of Education,5,52,188,102,0,1415
364,9100900000000,El Dorado County Office of Education,6,15,49,30,0,1415
365,9100900000000,El Dorado County Office of Education,7,73,522,116,0,1415
366,9100900000000,El Dorado County Office of Education,9,10,45,14,0,1415
367,9618530000000,El Dorado Union High,1,14,60,30,6,1415
368,9618530000000,El Dorado Union High,2,60,257,110,76,1415
369,9618530000000,El Dorado Union High,3,3,18,6,2,1415
370,9618530000000,El Dorado Union High,4,12,65,24,14,1415
371,9618530000000,El Dorado Union High,5,205,908,400,128,1415
372,9618530000000,El Dorado Union High,6,27,81,58,30,1415
373,9618530000000,El Dorado Union High,7,1292,5070,2482,1314,1415
374,9618530000000,El Dorado Union High,9,70,343,136,80,1415
375,9619030000000,Lake Tahoe Unified,0,1,13,4,0,1415
376,9619030000000,Lake Tahoe Unified,1,1,11,4,0,1415
377,9619030000000,Lake Tahoe Unified,2,5,24,8,8,1415
378,9619030000000,Lake Tahoe Unified,4,10,50,18,4,1415
379,9619030000000,Lake Tahoe Unified,5,112,464,208,38,1415
380,9619030000000,Lake Tahoe Unified,6,4,19,8,2,1415
381,9619030000000,Lake Tahoe Unified,7,141,902,266,132,1415
382,9619030000000,Lake Tahoe Unified,9,3,22,6,4,1415
383,9737830000000,Black Oak Mine Unified,1,3,16,4,0,1415
384,9737830000000,Black Oak Mine Unified,4,1,2,1,0,1415
385,9737830000000,Black Oak Mine Unified,5,8,72,14,4,1415
386,9737830000000,Black Oak Mine Unified,7,108,643,204,44,1415
387,9737830000000,Black Oak Mine Unified,9,1,5,2,0,1415
388,10101100000000,Fresno County Office of Education,0,6,44,6,4,1415
389,10101100000000,Fresno County Office of Education,2,34,130,36,0,1415
390,10101100000000,Fresno County Office of Education,3,1,10,2,0,1415
391,10101100000000,Fresno County Office of Education,5,295,1517,170,18,1415
392,10101100000000,Fresno County Office of Education,6,55,325,24,8,1415
393,10101100000000,Fresno County Office of Education,7,68,304,48,10,1415
394,10101100000000,Fresno County Office of Education,9,3,28,2,0,1415
395,10621200000000,Clovis Unified,1,29,294,46,30,1415
396,10621200000000,Clovis Unified,2,394,5257,748,558,1415
397,10621200000000,Clovis Unified,3,13,111,24,18,1415
398,10621200000000,Clovis Unified,4,68,853,130,114,1415
399,10621200000000,Clovis Unified,5,996,14372,1718,910,1415
400,10621200000000,Clovis Unified,6,103,1313,182,104,1415
401,10621200000000,Clovis Unified,7,1437,17709,2606,1694,1415
402,10621200000000,Clovis Unified,9,62,1233,122,78,1415
403,10621300000000,Coalinga-Huron Unified,0,1,61,4,0,1415
404,10621300000000,Coalinga-Huron Unified,2,5,78,10,6,1415
405,10621300000000,Coalinga-Huron Unified,3,1,3,2,2,1415
406,10621300000000,Coalinga-Huron Unified,4,1,20,2,0,1415
407,10621300000000,Coalinga-Huron Unified,5,269,3666,446,80,1415
408,10621300000000,Coalinga-Huron Unified,6,1,44,2,2,1415
409,10621300000000,Coalinga-Huron Unified,7,38,461,64,22,1415
410,10621600000000,Fowler Unified,2,17,229,32,26,1415
411,10621600000000,Fowler Unified,5,144,1946,258,114,1415
412,10621600000000,Fowler Unified,6,3,22,6,0,1415
413,10621600000000,Fowler Unified,7,22,253,42,24,1415
414,10621700000000,Fresno Unified,1,32,455,52,10,1415
415,10621700000000,Fresno Unified,2,688,8170,1278,804,1415
416,10621700000000,Fresno Unified,3,9,224,22,10,1415
417,10621700000000,Fresno Unified,4,34,309,66,48,1415
418,10621700000000,Fresno Unified,5,3077,48904,5006,1852,1415
419,10621700000000,Fresno Unified,6,553,6562,854,290,1415
420,10621700000000,Fresno Unified,7,623,7924,1054,624,1415
421,10621700000000,Fresno Unified,9,39,973,54,26,1415
422,10622600000000,Kingsburg Joint Union High,1,0,5,2,2,1415
423,10622600000000,Kingsburg Joint Union High,2,11,39,22,18,1415
424,10622600000000,Kingsburg Joint Union High,4,1,2,2,2,1415
425,10622600000000,Kingsburg Joint Union High,5,166,725,270,72,1415
426,10622600000000,Kingsburg Joint Union High,7,102,410,190,100,1415
427,10622600000000,Kingsburg Joint Union High,9,13,35,20,8,1415
428,10622700000000,Kings Canyon Joint Unified,0,4,31,8,4,1415
429,10622700000000,Kings Canyon Joint Unified,1,5,29,8,4,1415
430,10622700000000,Kings Canyon Joint Unified,2,9,111,16,8,1415
431,10622700000000,Kings Canyon Joint Unified,4,9,47,18,4,1415
432,10622700000000,Kings Canyon Joint Unified,5,624,8486,996,344,1415
433,10622700000000,Kings Canyon Joint Unified,6,3,17,4,2,1415
434,10622700000000,Kings Canyon Joint Unified,7,94,949,150,72,1415
435,10622700000000,Kings Canyon Joint Unified,9,6,103,8,6,1415
436,10622800000000,Laton Joint Unified,1,1,1,1,1,1415
437,10622800000000,Laton Joint Unified,2,1,2,1,0,1415
438,10622800000000,Laton Joint Unified,5,36,547,52,22,1415
439,10622800000000,Laton Joint Unified,7,9,104,18,10,1415
440,10623300000000,Orange Center,7,8,371,8,0,1415
441,10623600000000,Pacific Union Elementary,2,0,12,4,2,1415
442,10623600000000,Pacific Union Elementary,5,0,325,396,140,1415
