,CDS_CODE,Year,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Amount,GR_RATE,Function_Accounts Receivable                                                                                                                                                                                                                                       ,Function_Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,Function_Books and Other Reference Materials                                                                                                                                                                                                                       ,Function_Classified Instructional Salaries                                                                                                                                                                                                                         ,Function_Classified Support Salaries                                                                                                                                                                                                                               ,Function_Communications                                                                                                                                                                                                                                            ,Function_Insurance                                                                                                                                                                                                                                                 ,Function_Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,Function_Subagreements for Services                                                                                                                                                                                                                                ,Function_Transfers of Indirect Costs                                                                                                                                                                                                                               ,Function_Transfers of Indirect Costs - Interfund                                                                                                                                                                                                                   ,Function_Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         
153,16115,1516,37,789,3105,749,401,550350,1998612.5400000003,50%-75%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,16116,1213,22,47,212,36,11,244672,6171.08,<25%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,16116,1213,22,47,212,36,11,244672,348746.2000000001,<25%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,16116,1213,22,47,212,36,11,244672,1556096.08,<25%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,16116,1213,22,47,212,36,11,244672,12445.68,<25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
158,16116,1213,22,47,212,36,11,244672,343955.92,<25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,16116,1314,20,55,214,47,2,244672,392327.08,<25%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,16116,1314,20,55,214,47,2,244672,2113449.6399999997,<25%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,16116,1314,20,55,214,47,2,244672,734690.32,<25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162,16116,1415,20,47,189,36,10,244672,400971.48,<25%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,16116,1415,20,47,189,36,10,244672,2203158.4000000004,<25%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,16116,1415,20,47,189,36,10,244672,1186344.96,<25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165,16116,1516,23,50,169,46,12,305840,427690.35000000003,<25%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,16116,1516,23,50,169,46,12,305840,3292889.1999999997,<25%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,16116,1516,23,50,169,46,12,305840,1060502.25,<25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,16117,1213,37,2468,10244,2315,1429,489408,143019538.16,50%-75%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,16117,1213,37,2468,10244,2315,1429,489408,114135360.16000006,50%-75%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,16117,1213,37,2468,10244,2315,1429,489408,1847814.32,50%-75%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,16117,1314,37,2604,10143,2408,1576,550584,158834191.04999998,50%-75%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,16117,1314,37,2604,10143,2408,1576,550584,136642716.36000004,50%-75%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,16117,1314,37,2604,10143,2408,1576,550584,1754734.0499999998,50%-75%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,16117,1415,37,2511,10204,2355,1566,489408,142444440.96,50%-75%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,16117,1415,37,2511,10204,2355,1566,489408,143633096.2400001,50%-75%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,16117,1415,37,2511,10204,2355,1566,489408,3565338.32,50%-75%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,16117,1516,37,2548,10239,2351,1556,489408,134246087.44000003,50%-75%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,16117,1516,37,2548,10239,2351,1556,489408,165428669.75999996,50%-75%,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,16117,1516,37,2548,10239,2351,1556,489408,1585234.88,50%-75%,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,16119,1213,37,1514,6936,1245,574,489536,27513752.0,25%-50%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,16119,1213,37,1514,6936,1245,574,489536,190050.48,25%-50%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,16119,1213,37,1514,6936,1245,574,489536,3087696.16,25%-50%,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
