CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1613090000000,2,147,705,173,125
1613090000000,3,25,76,11,4
1613090000000,4,101,355,82,48
1613090000000,5,473,2215,412,146
1613090000000,6,163,656,124,30
1613090000000,7,127,544,119,35
1613090000000,9,2,41,9,8
1750930000000,1,1,15,2,2
1750930000000,2,85,1645,111,95
1750930000000,3,2,21,3,2
1750930000000,4,28,349,26,22
1750930000000,5,67,501,65,32
1750930000000,6,38,267,33,18
1750930000000,7,202,1354,196,121
1750930000000,9,12,63,3,2
1751010000000,1,11,41,14,8
1751010000000,2,337,1389,333,260
1751010000000,3,4,25,4,2
1751010000000,4,37,132,30,18
1751010000000,5,124,465,98,41
1751010000000,6,25,109,15,6
1751010000000,7,749,2763,704,451
1751010000000,9,15,96,30,19
1766530000000,2,0,30,9,9
1766530000000,4,0,9,2,2
1766530000000,5,0,79,21,21
1766530000000,7,0,185,41,41
1766530000000,9,0,14,5,5
2100250000000,1,0,2,1,0
2613330000000,1,0,2,1,0
3100330000000,5,3,72,2,0
3100330000000,7,23,190,6,0
3739810000000,0,3,28,10,5
3739810000000,1,5,39,9,1
3739810000000,2,0,7,5,3
3739810000000,3,0,3,1,0
3739810000000,4,4,11,1,0
3739810000000,5,67,215,47,9
3739810000000,6,2,6,3,1
3739810000000,7,259,990,225,62
3739810000000,9,11,57,14,3
4100410000000,0,0,6,2,0
4100410000000,1,5,55,4,0
4100410000000,2,1,15,2,2
4100410000000,4,1,2,2,0
4100410000000,5,23,217,33,2
4100410000000,6,1,11,1,0
4100410000000,7,103,669,93,18
4100410000000,9,3,28,3,0
4614080000000,1,1,4,2,0
4614080000000,5,13,66,25,5
4614080000000,7,25,90,19,2
4614240000000,0,1,23,11,4
4614240000000,1,21,86,13,2
4614240000000,2,98,295,74,41
4614240000000,3,6,16,3,1
4614240000000,4,8,34,3,3
4614240000000,5,215,945,195,61
4614240000000,6,31,156,35,6
4614240000000,7,815,3428,694,314
4614240000000,9,15,72,7,2
4614320000000,1,0,4,4,0
4614320000000,5,21,76,17,5
4614320000000,7,66,237,57,30
4614400000000,1,7,20,2,0
4614400000000,5,4,11,1,0
4614400000000,7,3,11,2,0
4614570000000,5,0,6,1,0
4614570000000,7,6,38,10,0
4615150000000,1,14,86,17,1
4615150000000,2,124,435,111,46
